Survey Response,Journal Name,Other Journal,Date,Professional Status,Gender (optional),Race/Ethnic Background (optional),Review Time in Months,Initial Verdict,Sets of Reviewer Comments Initially Provided,Quality of Referee Comments,Overall Experience with Editors,Revise and Resubmit Verdict (also Conditional Acceptance),Time from Acceptance to Publication,Field 13,Journals,Acceptances,Rejections,Conditional Acceptances,Revise and Resubmits,Overall Acceptance,Initial withdrawals,Revise and Resubmit Withdrawals
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,5.00,Revise and Resubmit,2.0,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,10.00,Reject,2.0,4.0,,Accept,,,,,Reject,,,Accept,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,2.00,Revise and Resubmit,3.0,3.0,,Reject,,,,,,,Revise and Resubmit,,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,9.00,Revise and Resubmit,1.0,2.0,,,,,,,,,Revise and Resubmit,,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,1.00,Revise and Resubmit,2.0,4.0,,Accept,12.0,,,,,,Revise and Resubmit,Accept,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,9.00,Revise and Resubmit,1.0,4.0,,Reject,14.0,,,,,,Revise and Resubmit,,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,6.00,Reject,2.0,4.0,,Accept,,,,,Reject,,,Accept,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,3.00,Reject,3.0,4.0,,Accept,,,,,Reject,,,Accept,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,12.00,Reject,1.0,3.0,,,,,,,Reject,,,,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,0.75,Revise and Resubmit,1.0,2.0,,,,,,,,,Revise and Resubmit,,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,2.00,Reject,1.0,2.0,,Reject,,,,,Reject,,,,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,1.00,Reject,1.0,4.0,,,,,,,Reject,,,,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,3.00,Reject,1.0,2.0,,,,,,,Reject,,,,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,3.00,Revise and Resubmit,3.0,3.0,,,,,,,,,Revise and Resubmit,,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,6.00,Reject,2.0,3.0,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.25,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.50,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.50,Accept,,,,,,,,Accept,,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.50,Accept,1.0,4.0,,,,5.0,,Accept,,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.50,Reject,1.0,,,,,6.0,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,1.00,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,1.00,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,1.00,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,2.00,Accept,,,,,,,,Accept,,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,1.00,Revise and Resubmit,1.0,4.0,,Accept,,5.0,,,,,Revise and Resubmit,Accept,,
Analysis,Analysis,,,Phil Wiki Import,,,1.00,Reject,1.0,4.0,,,,6.0,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.50,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.50,Accept,,,,,,,,Accept,,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,2.00,Reject,,,,,,7.0,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,2.00,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.25,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.50,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.25,Accept,,,,,,,,Accept,,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.25,Reject,,,,,,6.0,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.25,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.75,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,1.00,Accept,,,,,,,,Accept,,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,2.00,Reject,1.0,4.0,,,,10.0,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.10,Accept,,,,,,,,Accept,,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.25,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.50,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.25,Accept,,,,,,,,Accept,,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,2.00,Reject,,4.0,,,,6.0,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.25,Revise and Resubmit,,,,,,,,,,,Revise and Resubmit,,,
Analysis,Analysis,,,Phil Wiki Import,,,1.00,Reject,1.0,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,1.00,Reject,,4.0,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.25,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,1.00,Revise and Resubmit,1.0,2.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Analysis,Analysis,,,Phil Wiki Import,,,2.00,Reject,,2.0,,,,8.0,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.25,Revise and Resubmit,1.0,,,,,,,,,,Revise and Resubmit,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.50,Reject,1.0,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,1.00,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.25,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.50,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.25,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.50,Accept,,,,,,,,Accept,,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,1.75,Reject,,,,,,6.0,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.50,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Phil Wiki Import,,,0.50,Reject,,,,,,,,,Reject,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,2.00,Reject,,,,,,,,,Reject,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,3.00,Reject,,,,,,,,,Reject,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,7.00,Reject,2.0,4.0,,,,,,,Reject,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,5.00,Accept,,,,,6.0,,,Accept,,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,25.00,Reject,,,,,,,,,Reject,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,13.00,Reject,,,,,,,,,Reject,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,14.00,Reject,,,,,,,,,Reject,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,11.00,Reject,,,,,,,,,Reject,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,9.00,Reject,,,,,,,,,Reject,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,16.00,Accept,1.0,4.0,,,,,,Accept,,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,7.00,Accept,1.0,,,,10.0,,,Accept,,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,18.00,Reject,1.0,,,,,,,,Reject,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,16.00,Reject,1.0,2.0,,,,,,,Reject,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,15.00,Reject,,,,,,,,,Reject,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,18.00,Accept,3.0,4.0,,,,,,Accept,,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,2.00,Reject,,,,,,,,,Reject,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,16.00,Revise and Resubmit,1.0,4.0,,Accept,6.0,,,,,,Revise and Resubmit,Accept,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,14.00,Reject,1.0,2.0,,,,,,,Reject,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,16.00,Reject,1.0,2.0,,,,,,,Reject,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,12.00,Reject,,,,,,,,,Reject,,,,,
Journal of Philosophy,Journal of Philosophy,,,Phil Wiki Import,,,12.00,Accept,,,,,7.0,,,Accept,,,,,,
Mind,Mind,,,,Gender (optional),Race/Ethnic Background (optional),,Initial Verdict,,,,Revise and Resubmit Verdict (also Conditional Acceptance) ,,,,,,,,,,
Mind,Mind,,,,,,22.00,Revise and Resubmit,1.0,2.0,,Reject,,,,,,,Revise and Resubmit,,,
Mind,Mind,,,,,,36.00,Revise and Resubmit,1.0,2.0,,Reject,,,,,,,Revise and Resubmit,,,
Mind,Mind,,,,,,7.00,Reject,1.0,2.0,,Reject,,,,,Reject,,,,,
Mind,Mind,,,,,,11.00,Revise and Resubmit,1.0,2.0,,Reject,,,,,,,Revise and Resubmit,,,
Mind,Mind,,,,,,14.00,Revise and Resubmit,1.0,2.0,,Reject,,,,,,,Revise and Resubmit,,,
Mind,Mind,,,,,,14.00,Reject,,,,Reject,,,,,Reject,,,,,
Mind,Mind,,,,,,10.00,Reject,1.0,2.0,,Reject,,,,,Reject,,,,,
Mind,Mind,,,,,,12.00,Reject,1.0,2.0,,,,,,,Reject,,,,,
Mind,Mind,,,,,,6.00,Reject,1.0,5.0,,,,,,,Reject,,,,,
Mind,Mind,,,,,,11.00,Reject,1.0,2.0,,,,,,,Reject,,,,,
Mind,Mind,,,,,,4.00,Revise and Resubmit,1.0,5.0,,accept,,,,,,,Revise and Resubmit,,,
Mind,Mind,,,,,,3.00,Reject,1.0,5.0,,,,,,,Reject,,,,,
Mind,Mind,,,,,,17.00,Reject,,,,Reject,,,,,Reject,,,,,
Mind,Mind,,,,,,6.00,Conditional Acceptance,2.0,5.0,,accept,,,,,,Conditional Acceptance,,,,
Mind,Mind,,,,,,1.50,Reject,,,,,,,,,Reject,,,,,
Mind,Mind,,,,,,2.00,Reject,,,,,,,,,Reject,,,,,
Mind,Mind,,,,,,11.00,Reject,1.0,2.0,,,,,,,Reject,,,,,
Mind,Mind,,,,,,4.50,Reject,2.0,3.0,,,6.0,,,,Reject,,,,,
Mind,Mind,,,,,,4.00,Conditional Acceptance,1.0,5.0,,accept,3.0,,,,,Conditional Acceptance,,,,
Mind,Mind,,,,,,3.00,Revise and Resubmit,1.0,5.0,,accept,,,,,,,Revise and Resubmit,,,
Mind,Mind,,,,,,3.50,Reject,3.0,5.0,,,,,,,Reject,,,,,
Mind,Mind,,,,,,11.00,Revise and Resubmit,3.0,3.0,,,,,,,,,Revise and Resubmit,,,
Mind,Mind,,,,,,2.00,Reject,,,,,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,3.00,Reject,,,,Reject,26.0,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,3.00,Reject,,,,Reject,20.0,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,5.00,Reject,,,,Reject,7.0,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,7.00,Reject,,,,Reject,21.0,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,9.00,Revise and Resubmit,2.0,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Nous,Nous,,,Phil Wiki Import,,,3.00,Revise and Resubmit,2.0,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Nous,Nous,,,Phil Wiki Import,,,3.00,Accept,1.0,4.0,,Accept,,,,Accept,,,,Accept,,
Nous,Nous,,,Phil Wiki Import,,,8.00,Revise and Resubmit,1.0,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Nous,Nous,,,Phil Wiki Import,,,9.00,Revise and Resubmit,2.0,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Nous,Nous,,,Phil Wiki Import,,,7.00,Revise and Resubmit,2.0,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Nous,Nous,,,Phil Wiki Import,,,2.00,Reject,1.0,4.0,,Reject,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,4.00,Reject,,4.0,,Reject,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,6.00,Reject,,,,Reject,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,6.00,Reject,1.0,4.0,,,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,1.50,Reject,,,,,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,15.00,Accept,1.0,4.0,,Accept,,,,Accept,,,,Accept,,
Nous,Nous,,,Phil Wiki Import,,,2.00,Reject,1.0,2.0,,Reject,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,2.00,Reject,1.0,2.0,,Reject,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,0.25,Reject,,2.0,,Reject,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,2.00,Reject,1.0,2.0,,Reject,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,5.00,Reject,,2.0,,Reject,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,1.00,Reject,1.0,4.0,,,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,1.75,Reject,,,,,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,0.50,Reject,,,,,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,5.00,Accept,1.0,4.0,,Accept,,,,Accept,,,,Accept,,
Nous,Nous,,,Phil Wiki Import,,,2.50,Reject,1.0,2.0,,,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,2.00,Reject,,,,,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,3.00,Accept,1.0,4.0,,Accept,,,,Accept,,,,Accept,,
Nous,Nous,,,Phil Wiki Import,,,5.00,Reject,,,,Reject,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,0.75,Reject,1.0,1.0,,Reject,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,2.00,Reject,1.0,1.0,,Reject,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,2.00,Reject,,,,Reject,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,2.00,Reject,,,,,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,2.50,Reject,,,,,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,1.50,Reject,,,,,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,3.00,Revise and Resubmit,1.0,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Nous,Nous,,,Phil Wiki Import,,,2.00,Accept,2.0,4.0,,,,,,Accept,,,,,,
Nous,Nous,,,Phil Wiki Import,,,2.00,Reject,1.0,2.0,,,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,1.75,Reject,,,,,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,1.50,Reject,1.0,2.0,,,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,2.00,Reject,1.0,4.0,,,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,1.75,Reject,,,,,,,,,Reject,,,,,
Nous,Nous,,,Phil Wiki Import,,,,,,,,,,,,,,,,,,
Nous,Nous,,,Phil Wiki Import,,,,,,,,,,,,,,,,,,
Nous,Nous,,,Phil Wiki Import,,,,,,,,,,,,,,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,1.00,Reject,2.0,2.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,4.00,Reject,1.0,4.0,,Reject,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,5.00,Reject,2.0,4.0,,Reject,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,1.00,Accept,2.0,4.0,,Accept,9.0,,,Accept,,,,Accept,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,2.00,Accept,2.0,4.0,,Accept,7.0,,,Accept,,,,Accept,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,2.00,Accept,2.0,4.0,,Accept,5.0,,,Accept,,,,Accept,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,2.00,Reject,2.0,4.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,2.00,Revise and Resubmit,2.0,4.0,,Accept,6.0,,,,,,Revise and Resubmit,Accept,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,1.50,Revise and Resubmit,1.0,4.0,,Reject,,,,,,,Revise and Resubmit,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,2.00,Revise and Resubmit,2.0,4.0,,Accept,8.0,,,,,,Revise and Resubmit,Accept,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,3.00,Accept,1.0,4.0,,Accept,12.0,,,Accept,,,,Accept,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,4.00,Reject,3.0,4.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,2.00,Reject,2.0,4.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,3.50,Accept,1.0,4.0,,Accept,,,,Accept,,,,Accept,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,2.50,Reject,2.0,2.0,,Reject,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,1.75,Reject,1.0,3.0,,Reject,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,3.00,Reject,1.0,4.0,,Reject,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,2.00,Reject,1.0,2.0,,Accept,,,,,Reject,,,Accept,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,3.00,Reject,2.0,4.0,,Reject,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,4.00,Reject,,3.0,,Reject,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,1.00,Reject,2.0,2.0,,Reject,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,5.00,Reject,1.0,2.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,3.50,Reject,2.0,4.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,3.50,Reject,1.0,4.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,4.00,Reject,2.0,2.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,2.50,Reject,2.0,3.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,2.00,Reject,1.0,3.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,3.00,Reject,1.0,4.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,3.00,Reject,1.0,2.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,2.50,Revise and Resubmit,1.0,3.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,1.50,Reject,1.0,4.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,1.50,Reject,1.0,4.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,1.25,Reject,,3.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,0.50,Reject,,,,Reject,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,0.25,Reject,1.0,,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,3.00,Revise and Resubmit,1.0,2.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,2.50,Reject,3.0,4.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,4.00,Reject,1.0,4.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,3.00,Reject,2.0,2.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,2.75,Reject,2.0,4.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,3.00,Reject,,3.0,,Reject,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,1.20,Reject,1.0,,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,3.00,Reject,2.0,2.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,1.75,Reject,1.0,3.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Phil Wiki Import,,,2.00,Reject,1.0,4.0,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,2.00,Reject,1.0,2.0,,Reject,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,3.00,Reject,,,,Reject,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,3.66,Conditional Acceptance,1.0,4.0,,Accept,9.0,,,,,Conditional Acceptance,,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,2.00,Accept,1.0,4.0,,Accept,24.0,,,Accept,,,,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,15.00,Accept,1.0,2.0,,Accept,,,,Accept,,,,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,9.00,Revise and Resubmit,1.0,2.0,,Reject,,,,,,,Revise and Resubmit,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,6.00,Reject,1.0,2.0,,Reject,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,3.00,Accept,1.0,4.0,,Accept,,,,Accept,,,,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,4.00,Reject,1.0,2.0,,Reject,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,4.00,Accept,1.0,4.0,,Accept,11.0,,,Accept,,,,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,13.00,Revise and Resubmit,1.0,2.0,,Accept,8.0,,,,,,Revise and Resubmit,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,8.00,Revise and Resubmit,1.0,2.0,,Accept,12.0,,,,,,Revise and Resubmit,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,9.00,Revise and Resubmit,1.0,2.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,2.00,Conditional Acceptance,1.0,4.0,,Accept,,,,,,Conditional Acceptance,,Accept,,
